Feature Index,Importance
248,0.0011512984677280356
157,0.001141246708911342
130,0.0011328868672131395
759,0.001130826693000384
91,0.0011261302339201542
526,0.0011241433937921744
521,0.0011204352609626741
969,0.0010846496996084478
680,0.0010804831942732302
965,0.0010787277735254475
985,0.0010781365537573782
481,0.0010764717318613578
692,0.0010753724480779402
741,0.0010639401679966255
513,0.0010617724556370753
906,0.0010604110563520012
727,0.0010502804830516154
408,0.0010482234889175415
633,0.0010460522713442442
873,0.0010376527256628772
471,0.0010328443802689697
429,0.001027976924144495
966,0.0010204794609759442
431,0.0010039237313771284
495,0.001003367915654098
268,0.0009991739706803747
210,0.0009975664744865224
599,0.000992585582761459
508,0.000990228151441888
626,0.0009897080048334652
666,0.0009857825239423857
629,0.0009848576657467704
22,0.0009812843519850381
694,0.0009770776505590602
718,0.0009698676437792887
960,0.0009668570004305516
984,0.0009643477409107468
262,0.0009621115660709888
827,0.0009581488042531358
669,0.0009487361430609822
946,0.0009486751009090132
615,0.0009470562692334972
898,0.000946325547000235
557,0.0009454400703843678
675,0.0009369170243605043
776,0.0009202786501961346
705,0.0009103079942787388
449,0.0009091714118833521
929,0.0009025403613122705
303,0.0008968757163873547
567,0.0008937856235617181
135,0.000890157446268824
172,0.0008740412902291364
104,0.0008702756060721176
30,0.000868830430109502
777,0.0008685689138039653
756,0.0008641581396425829
163,0.0008578505910468683
442,0.000855108074475356
333,0.0008469050238522715
423,0.0008447167367700445
843,0.0008305892285294588
986,0.0008076445421361404
682,0.0008042647259461131
690,0.0008031077544427413
527,0.0008002925699858128
67,0.0007944867185216884
124,0.0007852178365541738
330,0.0007777228933496661
516,0.0007722840130605557
26,0.0007685695138535498
695,0.0007671503891338882
300,0.0007649664270659437
863,0.0007631836624479071
934,0.0007624776393720383
571,0.0007601525588989327
306,0.0007567060281745624
766,0.000753656145336413
35,0.0007520773060189663
246,0.0007438154800404994
417,0.00074324968145695
385,0.0007429510866207756
165,0.0007413267898404375
468,0.0007348096954817496
817,0.0007345140318453289
750,0.0007338088460001388
743,0.0007282730031568866
162,0.0007269596950876527
357,0.0007264913494527104
497,0.0007232545994533549
284,0.0007197116254295751
278,0.000716610837417395
462,0.0007104544333005969
7,0.0007093747363147382
592,0.0007066908362084294
907,0.0007065106824415457
1015,0.000705177075109373
258,0.0007033023033926444
